,word,phonetic,translation
0,the,ðә,art. 那
1,of,ɒv,"prep. 的, 属于"
2,a,ei,"第一个字母 A; 一个; 第一的
art. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步"
3,and,ænd,"conj. 和, 与
[计] 与"
4,in,in,"prep. 在...期间, 在...之内, 处于...之中, 从事于, 按照, 穿着
adv. 进入, 朝里, 在里面, 在屋里
a. 在里面的, 在朝的
n. 执政者, 交情"
5,to,tu:,"prep. 到, 向, 趋于
adv. 向前"
6,laser,'leizә,"n. 激光
[计] 激光器"
7,for,fɒ:,"prep. 为, 因为, 至于
conj. 因为
[计] DOS批处理命令:对一组参数重复执行指定的命令"
8,with,wið,"prep. 和...在一起, 以, 由于"
9,by,bai,"prep. 被, 经, 由, 在...之旁
adv. 经过, 在近处"
10,at,æt,"prep. 在, 向, 对
[计] 地址转换器, 异常传输, 自动订票"
11,as,æz,"adv. 同样地, 例如
prep. 做为, 当作
conj. 当...之时, 以...的方式, 像...一样, 因为
[计] 高级系统, 先进系统, 辅助存储器, 自治系统"
12,energy,'enәdʒi,"n. 精力, 精神, 活力, 能量
[化] 能; 能量"
13,plasma,'plæzmә,"n. 血浆, 淋巴液, 原生质, 等离子体
[化] 等离体; 等离子体"
14,from,frɒm,"prep. 从, 来自, 根据"
15,that,ðæt,"a. 那, 那个
conj. 以致, 因为
pron. 那
adv. 那么, 那样"
16,pulse,pʌls,"n. 脉冲, 脉搏, 情绪, 意向, 拍子, 豆类
vi. 跳动, 脉跳
vt. 使跳动, 用脉冲调制
[计] 脉冲"
17,be,bi:,"v. 是, 表示, 在
[计] 后端, 总线允许"
18,this,θis,"pron. 这, 本
a. 这, 本
adv. 这么"
19,electron,i'lektrɒn,"n. 电子
[化] 电子"
20,on,ɒn,"prep. 在...之上
adv. ...上去
a. 正起作用的
[计] 打开"
21,high,hai,"n. 高度, 高处
a. 高的, 高级的, 主要的, 高尚的, 高原的, 高音的, 昂贵的, 傲慢的
adv. 高度地, 奢侈地"
22,target,'tɑ:git,"n. 目标, 靶子, 指标
vt. 对准, 订指标"
23,can,kæn,"vt. 装罐
n. 罐头, 容器
aux. 能, 可以
[计] 作废字符"
24,fig,fig,"n. 无花果, 无价值的东西, 少许, 服装
vt. 打扮, 使马跑快"
25,we,wi:,pron. 我们
26,density,'densiti,"n. 密度
[化] 密度"
27,beam,bi:m,"n. 横梁, 杆, 光线, 容光焕发
vi. 用梁支承, 微笑, 射出光线
vt. 照耀, 感到欣喜
[计] 束"
28,which,hwitʃ,"pron. 哪一个, 那一个"
29,ray,rei,"n. 光线, 射线, 闪烁, 光辉
vi. 射出光线, 浮现, 放射光线
vt. 放射, 显出"
30,rev,rev,"n. 一次回转
v. 加快转速
[计] 反转, 周, 转数"
31,field,fi:ld,"n. 领域, 田地, 场地, 战场, 场, 域
vt. 使...晒在场上, 使上场
a. 田间的, 野生的, 野外的, 田赛的
[计] 域, 字段"
32,intensity,in'tensәti,"n. 强烈, 紧张, 强度
[计] 强度; 亮度"
33,it,it,"pron. 它
[计] 信息论, 输入终端, 智能终端, 内捕获"
34,radiation,.reidi'eiʃәn,"n. 辐射
[化] 放射"
35,time,taim,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间
vt. 测定...的时间, 记录...的时间, 计时, 定时
a. 时间的, 记时的, 定时的, 定期的, 分期的
[计] DOS内部命令:用于显示或设定系统的时间"
36,or,ɒ:,"conj. 或, 或者
[计] 或"
37,where,hwєә,"adv. 在哪里
pron. 哪里
n. 地点"
38,have,hæv,"vt. 有, 怀有, 拿, 进行
aux. 已经"
39,acceleration,әk.selә'reiʃәn,"n. 加速, 促进, 加速度
[化] 加速度"
40,figure,'figә,"n. 数字, 价格, 图形, 形状
vt. 描绘, 表示, 演算, 认为
vi. 计算, 出现, 估计"
41,ion,'aiәn,"n. 离子
[化] 离子"
42,two,tu:,"num. 二, 二个"
43,than,ðæn,"conj. 比, 除...外
prep. 比"
44,these,ði:z,pron. 这些
45,proton,'prәutɒn,"n. 质子
[化] 质子"
46,also,'ɒ:lsәu,"adv. 也, 并且, 同样地"
47,used,'ju:st,"a. 使用过的, 二手的, 习惯的"
48,not,nɒt,"adv. 不, 非, 未
[计] 非"
49,photon,'fәutɒn,"n. 光子, 光量子, 光度
[化] 光量子; 光子"
50,light,lait,"n. 光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光
a. 轻的, 少量的, 轻微的, 轻快的, 轻浮的, 明亮的, 淡色的, 容易的
vt. 点燃, 照亮
vi. 点着, 变亮, 突降, 偶然碰到
adv. 轻地"
51,physics,'fiziks,"n. 物理学, 物理过程, 物理现象
[化] 物理; 物理学"
52,one,wʌn,"n. 一(个)
pron. 一, 任何人
num. 一, 一个
a. 一致的, 完整的"
53,emission,i'miʃәn,"n. 发射, 射出, 发行
[医] 发射, 遗精"
54,phase,feiz,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
[计] 阶段"
55,such,sʌtʃ,"a. 如此的, 这样的"
56,case,keis,"n. 情形, 情况, 箱, 容器, 事实, 病例, 案例, 框子
vt. 装箱, 包盖"
57,between,bi'twi:n,prep. 在...之间
58,interaction,.intәr'ækʃәn,"n. 交互作用, 交感
[计] 交互作用"
59,order,'ɒ:dә,"n. 次序, 规则, 命令
vi. 命令, 定货
vt. 整理, 命令, 定购
n. 顺序, 阶数
[计] 顺序, 阶数"
60,different,'difәrәnt,"a. 不同的
[机] 差动, 微分的, 差速器"
61,number,'nʌmbә,"n. 数, 数字, 数目, 号码
vt. 数, 计算, 共计
vi. 计算, 报数
[计] 数字"
62,source,sɒ:s,"n. 来源, 水源, 根源, 原始资料, 源
[计] 来源, 源程序"
63,charge,tʃɑ:dʒ,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
64,spectral,'spektrәl,"a. 光谱的, 鬼怪的, 幻觉的
[医] 光谱的"
65,spectrum,'spektrәm,"n. 光谱, 范围, 系列
[化] 光谱"
66,when,hwen,"conj. 当...的时候
adv. 何时, 什么时候
pron. 什么时侯
n. 时间"
67,experimental,ik.speri'mentәl,"a. 实验的, 根据实验的
[医] 实验的"
68,into,'intu:,"prep. 进入...之内, 朝..., 深入...之中, 成为...状况"
69,no,nәu,"n. 不, 拒绝, 否决票
a. 没有, 不是, 绝非
adv. 不"
70,line,lain,"n. 列, 线, 绳, 电线, 线路, 路线, 航线, 作业线, 界线, 战线, 外形, 排, 家系
vt. 排成一行, 顺...排列, 划线于, 加衬里, 使有线条, 使起皱纹
vi. 排队
[计] 线路"
