the,35611
of,15655
and,12410
in,9682
to,7495
is,6649
laser,6262
with,4645
for,4368
electron,4159
energy,4087
by,3672
phys,2870
at,2774
plasma,2772
from,2562
as,2557
electrons,2505
ray,2461
that,2445
are,2279
this,2157
be,2078
pulse,2039
on,1996
al,1855
an,1809
et,1732
beam,1714
target,1704
high,1684
density,1643
radiation,1608
we,1480
rev,1469
fig,1460
can,1438
which,1359
was,1344
mev,1320
photon,1312
plasmas,1079
it,1057
intensity,1052
lett,983
photons,957
spectrum,928
eld,911
source,892
using,889
where,869
than,781
distribution,764
have,759
emission,750
gamma,729
number,717
relativistic,707
cm,704
has,703
interaction,700
these,674
case,670
mm,666
rays,659
measured,641
results,637
acceleration,627
or,620
were,613
used,602
simulations,597
physics,588
time,586
kev,583
two,581
solid,573
beams,572
not,563
bremsstrahlung,561
shown,561
simulation,558
into,547
been,540
scattering,540
axis,539
range,539
ion,533
also,525
angle,522
between,515
peak,509
different,505
obtained,494
size,493
when,477
fs,475
length,474
one,473
pro,468
lm,466
our,461
such,461
order,460
pulses,454
energies,451
due,450
all,446
produced,445
temperature,443
up,441
experimental,439
maximum,439
sources,438
betatron,435
no,435
spectra,431
direction,424
higher,418
figure,417
magnetic,417
shot,416
shows,416
fast,415
self,413
more,412
doi,410
ne,409
line,407
ef,403
le,402
accelerated,401
charge,401
transverse,397
compton,393
given,392
both,388
low,382
over,382
single,382
emitted,379
regime,377
about,376
generated,376
targets,376
ions,375
total,374
wave,371
light,365
absorption,364
through,364
based,363
duration,363
above,358
thickness,358
see,356
intense,355
parameters,355
same,354
de,353
driven,353
function,350
its,349
process,349
particle,348
nature,346
org,345
power,345
re,345
here,344
cm2,341
dose,340
only,340
hot,339
per,337
each,336
experiments,336
critical,334
gas,334
scale,334
spot,334
will,334
under,329
however,328
angular,327
generation,327
but,326
experiment,324
production,323
foil,321
pic,316
accelerator,315
cid,315
tion,310
con,309
data,308
large,308
field,307
then,307
respectively,306
well,300
thus,298
observed,293
after,290
along,288
electric,286
corresponding,285
model,282
their,282
nm,280
lower,277
frequency,273
new,273
fwhm,272
incident,272
while,272
bunch,270
if,268
signal,266
within,264
near,263
because,262
channel,258
divergence,258
effects,258
section,258
synchrotron,258
eq,257
initial,257
nuclear,257
fusion,255
lwfa,255
short,255
spectral,255
conditions,253
small,252
gev,251
other,250
plane,250
propagation,249
motion,248
optical,248
contrast,247
phase,247
wavelength,246
ciency,245
nonlinear,245
thomson,244
calculated,243
nc,243
region,243
shots,243
force,242
reaction,242
since,242
applications,240
during,240
cell,239
use,239
front,238
focusing,237
average,236
may,236
measurements,236
much,236
parameter,236
could,235
lasers,235
published,235
effect,233
factor,233
surface,233
thick,233
cross,231
sci,230
focal,226
performed,225
https,224
conversion,222
femtosecond,222
intensities,222
layer,222
so,222
very,222
pair,221
rst,221
spatial,220
amplitude,219
compared,219
normalized,219
online,219
spectrometer,219
potential,217
resolution,217
code,216
accelerators,214
increase,213
few,212
show,212
strong,212
quantum,211
result,211
would,211
focused,210
radius,210
chen,209
most,209
red,209
they,209
value,209
wake,209
heating,208
image,208
long,206
detector,205
out,205
similar,201
dynamics,200
longitudinal,200
elds,197
dense,196
malka,196
produce,196
hard,195
yield,195
forward,193
part,193
pukhov,193
laboratory,192
system,192
sec,191
velocity,191
mirror,189
undulator,189
elec,187
ev,187
multi,187
science,187
imaging,186
interactions,186
properties,186
spread,186
three,186
electromagnetic,185
gaussian,184
matter,184
second,184
below,181
ing,181
mrad,181
cient,180
material,180
university,180
instrum,179
several,179
ultra,179
wakefield,177
increases,176
present,176
around,175
nat,173
numerical,173
positron,173
appl,172
ps,172
temporal,172
color,171
position,171
distance,170
momentum,170
rate,170
measurement,169
methods,169
note,169
therefore,169
free,168
main,168
mean,168
edge,167
larger,167
jet,166
particles,166
presented,165
ratio,164
signi,164
he,163
current,162
less,162
simulated,162
study,162
without,161
work,161
ionization,160
smaller,160
there,160
ii,159
lead,159
lp,159
mechanism,159
background,158
control,158
esarey,158
off,158
scheme,158
thin,158
petawatt,157
corresponds,155
injection,155
scaling,155
typical,155
ta,154
cu,153
gure,153
placed,153
point,153
some,153
space,153
times,152
cases,150
dashed,150
expected,150
research,150
wang,150
should,149
vacuum,149
mod,148
possible,148
black,147
set,147
via,147
au,146
ed,146
like,145
setup,145
found,143
resonance,143
constant,142
curve,142
normal,142
ponderomotive,142
processes,142
width,142
compact,141
addition,139
ected,139
key,139
limit,139
ned,139
th,139
article,138
full,138
structure,138
considered,137
demonstrated,137
following,137
state,137
described,136
mass,136
blue,135
fel,135
fields,135
leemans,134
liu,134
radiated,134
approximately,133
important,133
radiography,133
aip,132
axial,132
energetic,132
equation,132
example,132
integrated,132
values,132
diameter,131
linear,131
resulting,131
www,131
induced,130
inside,130
bubble,129
even,129
evolution,129
journal,129
lines,129
period,129
publishing,129
bandwidth,128
dimensional,128
focus,128
further,128
half,128
monoenergetic,128
plate,128
exp,127
institute,127
iv,127
me,127
paper,127
strength,127
analysis,126
com,126
lens,126
physical,126
determined,125
estimated,125
greater,125
limited,125
conventional,124
method,124
nucl,124
quasi,124
propagating,123
account,122
classical,122
direct,122
first,122
lter,122
tw,122
collimated,121
before,120
kinetic,120
phuoc,120
reported,120
vol,120
zhang,120
obtain,119
required,119
review,119
various,119
cp,118
densities,118
dependence,118
level,118
li,118
ncd,118
scattered,118
back,117
polarized,117
quality,117
sample,117
transport,117
becomes,116
seen,116
table,116
bulanov,115
carbon,115
discussed,115
lefebvre,115
technology,115
agreement,114
equal,114
january,114
magnitude,114
accel,113
collision,113
distributions,113
form,113
license,113
ref,113
relative,113
bunches,112
center,112
ee,112
proton,112
recorded,112
ter,112
ec,111
effective,111
proposed,111
reactions,111
rousse,111
china,110
foils,110
measure,110
national,110
respect,110
made,109
oscillations,109
controlled,108
corde,108
krushelnick,108
non,108
previous,108
dla,107
faure,107
iii,107
increasing,107
many,107
onto,107
strongly,107
theoretical,107
top,107
tron,107
means,106
wilks,106
collisional,105
consistent,105
monte,105
protons,105
vector,105
applied,104
area,104
carlo,104
gain,104
leads,104
achieved,102
depends,102
does,102
figs,102
lorentz,102
brightness,101
comparison,101
good,101
taken,101
characteristic,100
reduced,100
theory,100
trapped,100
angles,99
being,99
central,99
increased,99
opt,99
photonics,99
ampli,98
experimentally,98
inset,98
la,98
thomas,98
ti,98
get,97
side,97
atomic,96
condition,96
coupling,96
detection,96
now,96
plotted,96
probe,96
approach,95
ex,95
generate,95
gives,95
highly,95
occurs,95
res,95
tunable,95
error,94
green,94
pre,94
ux,94
accepted,93
calder,93
enhanced,93
left,93
directly,92
facility,92
frame,92
lu,92
shape,92
simple,92
those,92
wiggler,92
yu,92
available,91
bright,91
features,91
foam,91
http,91
march,91
mechanisms,91
response,91
still,91
zepf,91
assuming,90
dt,90
rad,90
averaged,89
bulk,89
copper,88
cos,88
highest,88
known,88
recent,88
represents,88
best,87
cantly,87
go,87
mangles,87
meyer,87
ccd,86
double,86
including,86
vehn,86
according,85
author,85
cant,85
cation,85
fraction,85
must,85
polarization,85
provide,85
threshold,85
trajectory,85
trons,85
yan,85
box,84
drive,84
estimate,84
fundamental,84
irradiated,84
relatively,84
scitation,84
ultrafast,84
behind,83
close,83
